Sample,Time,Type,Actb,Bmi1,Bmp4,Bmp7,Bmpr1a,Cd34,Cdh1,Cdh2,Cdk2,Cdx2,Cldn6,Ctcf,Ctnnb1,Dnmt1,Dnmt3b,Dppa3,Dppa4,Eomes,Esrrb,Ezh2,Fbxo15,Fgf4,Fgf5,Fgfr2,Foxa2,Gapdh,Gata1,Gata4,Gata6,Gdf3,GFAP,Gli2,Grb2,Gsc,Gsk3b,Hand1,Hdac1,Hes1,Igf2,Isl1,Jag1,Jarid2,Kdm1a,Kdm4c,Klf4,Lif,Lifr,Lin28a,Mbd3,MBP,Mef2a,Mixl1,Mki67ip,Myc,Myst3,Nanog,Ncam1,Nestin,Notch1,Nr0b1,Nr5a2,Nr6a1,Olig1,Olig2,Otx2,Pax6,Pou5f1,Prmt6,Prmt7,Ptpn11,Rai1,Rcc1,Rest,Sall4,Setdb1,Smad1,Smarca4,Smarcc1,Socs3,Sox1,Sox2,Stat3,T,Tbx3,Tcf7l1,Tcl1,Tgm2,Trp53,Tubb3,Utf1,Vim,Wdr5,Wnt3a,Wnt5a,Zfp281,Zfp42,
E14tg2a.0h.2C,0,E14,10.84214638,19.97307485,14.97915932,19.14758731,17.82069285,0.0,22.61030682,19.42460736,14.01710461,0.0,0.0,14.09276647,13.05404697,13.60991112,13.03063475,0.0,16.89652675,18.20788128,15.13887127,16.13028108,14.30908483,13.34836834,0.0,0.0,0.0,8.55580912,0.0,0.0,0.0,13.82800875,0.0,20.22348147,16.18663063,19.59041044,18.83679783,0.0,12.62184719,27.79258658,0.0,0.0,0.0,14.31760667,12.85209309,16.80164543,15.55932263,0.0,16.35401369,14.85816788,13.45169464,0.0,0.0,0.0,15.75759715,15.38637274,15.37891081,14.6977148,0.0,0.0,18.4931214,16.40906606,19.30003414,0.0,0.0,0.0,0.0,0.0,14.94791164,0.0,16.06596544,14.49443735,0.0,14.97661207,12.39613839,13.14776777,17.63822564,16.72118369,0.0,14.33545128,15.25474678,0.0,17.81101625,13.4879693,0.0,15.26869994,14.27532516,0.0,17.92421629,15.9102595,15.50725672,0.0,11.80762278,13.78011122,0.0,0.0,13.69396598,11.4828597,
E14tg2a.0h.2D,0,E14,17.88214249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51919227,17.47988902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82911206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.30490349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.37427072,18.29227234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.27573522,17.65995222,0.0,0.0,0.0,0.0,0.0,
E14tg2a.0h.2E,0,E14,11.20704926,0.0,15.32539254,0.0,17.07602805,0.0,0.0,0.0,14.07055154,0.0,0.0,14.22127142,12.49570813,13.20383752,12.93957144,0.0,16.59548614,0.0,15.47356226,17.31866109,13.68362703,13.91676418,0.0,0.0,0.0,8.390800086,0.0,0.0,0.0,13.74398064,0.0,18.00014775,15.87256902,0.0,18.95542941,0.0,12.45880178,21.87665468,0.0,0.0,17.47454903,13.72109421,12.71938136,15.76074533,14.57446194,0.0,15.88760794,15.45688522,14.94997912,0.0,0.0,0.0,16.02469965,15.29414424,16.27639426,14.62766656,0.0,0.0,0.0,13.84910243,16.33812284,19.72343721,0.0,0.0,0.0,0.0,14.55870861,0.0,15.9537931,15.72589336,0.0,15.27158173,12.33500037,13.23034616,16.74211284,17.44912162,0.0,14.09502501,16.83743543,0.0,17.23762602,14.58949329,0.0,15.6274676,14.15160835,17.89812698,0.0,14.17546407,14.46733259,17.861937,12.09469898,14.26184598,0.0,0.0,13.44961717,12.11769467,
E14tg2a.0h.2F,0,E14,10.47895237,17.69804686,15.02231734,0.0,16.98030875,0.0,0.0,0.0,14.80054825,0.0,0.0,13.30772099,12.03135402,12.72820581,12.62796048,0.0,16.87961613,18.49247029,14.49938508,17.74554963,13.21213698,13.58087439,0.0,0.0,0.0,8.295426322,0.0,0.0,0.0,13.26531586,0.0,17.59230293,15.29445195,0.0,21.00110367,0.0,12.17678502,18.24146335,0.0,0.0,0.0,12.98246201,11.83570208,15.83166043,14.67280393,0.0,15.88775486,15.75775909,13.1172269,0.0,16.74091092,0.0,16.51773151,15.08155119,15.83917605,15.04459769,0.0,20.19387118,19.57401738,13.8677983,15.3014166,19.54165757,0.0,0.0,19.51553773,0.0,13.91153445,0.0,17.14478441,15.72868703,0.0,15.6614389,12.91891206,12.82083251,17.9680495,17.17150287,0.0,14.20060711,16.41242837,0.0,16.48785907,14.13732343,0.0,14.39837057,13.85129797,17.23607138,0.0,14.15262504,14.09958398,14.51491789,11.16475879,13.98229171,0.0,0.0,13.24661366,11.08021091,
E14tg2a.0h.2G,0,E14,10.05715458,20.79929126,14.30190074,0.0,16.23387738,19.01570965,0.0,19.69611792,14.0473058,0.0,18.26719507,13.65859699,11.65813214,12.53288094,11.93549071,0.0,15.83161565,16.99244703,13.43862933,15.73038124,12.95698595,13.36751232,0.0,0.0,0.0,7.371914494,0.0,0.0,0.0,12.96186402,0.0,17.81251193,14.79573419,19.39724864,18.70134401,0.0,10.9944334,18.87696007,0.0,22.09947646,15.5480556,13.06132373,12.62014793,15.2760377,15.07122216,0.0,15.18058631,13.71434666,12.73412427,0.0,20.31825419,0.0,16.75264344,13.56427016,14.36437623,14.22849042,0.0,0.0,18.69107673,14.26681107,15.21596478,19.50010484,0.0,0.0,18.98681923,0.0,13.16230295,20.40761635,16.45561474,14.3966722,18.13369466,15.26213126,11.62852687,11.96792183,16.09116634,16.86930119,0.0,13.2944052,16.24941836,0.0,16.20112951,13.91511874,0.0,15.19087192,12.84783179,18.41842254,0.0,13.66188568,13.25977588,14.50559143,10.81564318,14.51820333,0.0,17.90198167,12.45499888,10.71933361,
E14tg2a.0h.2H,0,E14,10.43932197,17.88408601,15.15597602,0.0,16.01211699,0.0,20.59766981,19.67939582,14.21989188,0.0,0.0,13.52363429,11.62849342,13.29154361,11.70984671,0.0,16.81318755,0.0,14.80139906,16.90787023,13.5497824,13.61985733,0.0,0.0,0.0,8.344566903,20.37371082,0.0,0.0,12.51236975,0.0,17.29150027,14.60331546,0.0,0.0,0.0,11.91838489,19.88644703,18.97802925,0.0,16.35622636,14.28024261,11.95497783,15.80321892,13.80523132,19.64523285,16.05196298,14.6460374,13.08415929,0.0,23.61293913,0.0,16.97648965,15.18257871,14.72699414,14.2353105,0.0,20.47826078,20.43374478,17.71588691,15.61064846,19.42062148,0.0,0.0,18.20357735,17.95765343,13.78438836,0.0,15.47382331,14.93180574,0.0,15.37231048,12.65456377,13.05976611,16.16602356,16.9299636,0.0,14.00471984,15.48390763,0.0,16.22027127,14.55890496,0.0,14.41362135,12.61879042,19.16508452,17.71983289,13.28080575,13.36442253,14.26159873,10.37428474,13.54202843,0.0,0.0,13.40820599,10.636481,
E14tg2a.0h.3A,0,E14,10.368147,18.74581546,14.33012049,0.0,18.15499857,0.0,26.76794288,0.0,14.42835052,0.0,18.31321813,14.2251676,12.23222854,11.92874547,12.87328907,0.0,18.23599051,0.0,15.33117102,18.75724578,15.01064251,14.35307378,0.0,0.0,19.29382046,8.431059487,0.0,0.0,0.0,12.81361885,0.0,0.0,17.2113409,0.0,0.0,0.0,12.6013693,0.0,0.0,0.0,0.0,13.01822482,13.0448093,14.72691583,13.59012643,17.97251402,15.66870312,16.62070568,14.53255361,0.0,17.67331327,0.0,16.84950202,24.32430666,15.86544798,13.95106414,0.0,0.0,19.50105376,14.86403939,26.91525599,0.0,0.0,0.0,0.0,0.0,17.15057493,0.0,17.30861508,15.51827489,18.99325678,17.17333284,13.54811956,13.38219312,18.17322829,0.0,0.0,14.94048659,16.55338427,0.0,24.32796343,14.34260623,0.0,14.81286287,15.72453777,0.0,0.0,19.80849129,15.03289137,0.0,11.53489379,14.82083153,0.0,0.0,12.46338159,10.93186993,
E14tg2a.0h.3B,0,E14,10.99903695,18.28695877,17.18257679,0.0,17.27578974,0.0,0.0,0.0,13.4186284,0.0,0.0,13.62507295,12.0643344,11.93128712,12.8319212,17.55014327,16.82587865,17.92857745,14.26598799,19.18933392,12.63158411,12.49086327,0.0,0.0,0.0,7.962966303,0.0,0.0,0.0,12.41581494,0.0,19.54232968,14.53755521,0.0,20.02252381,0.0,12.17358554,0.0,0.0,0.0,16.41455647,14.43723304,12.34121489,15.28086687,15.11621209,0.0,15.85106899,17.56374269,13.98108734,0.0,17.05684797,0.0,15.97788376,14.73015818,14.35766454,13.4996859,0.0,20.3593342,19.49405639,14.46926969,17.73038194,22.80372487,0.0,0.0,16.36579585,17.51183431,14.67216107,0.0,17.04781747,16.24871539,0.0,17.55632185,11.72066756,12.87419075,16.83404979,18.05928647,0.0,13.95576811,0.0,0.0,19.00177392,15.5234025,0.0,14.94997385,12.76067824,0.0,17.68528658,15.24168434,13.72405656,26.21942418,11.00649918,13.72491947,0.0,0.0,14.06101047,11.10913788,
E14tg2a.0h.3C,0,E14,9.911515357,24.65055295,14.15424488,0.0,16.33234412,0.0,0.0,0.0,13.60286042,0.0,0.0,14.5885778,11.8835087,12.45724725,12.19877582,0.0,15.9740755,0.0,14.43397224,16.06044923,13.43455303,14.60239428,0.0,0.0,0.0,7.822532865,0.0,0.0,0.0,13.71321447,0.0,0.0,18.07327278,0.0,18.7146348,0.0,12.59437614,0.0,0.0,0.0,17.19811042,13.85388787,12.75327628,16.14901305,15.25384248,0.0,15.03381371,15.27523862,13.61111747,0.0,0.0,0.0,18.19949767,14.84593548,16.02218773,16.90072154,0.0,0.0,21.16276661,16.68202302,17.95516646,0.0,0.0,0.0,19.37032923,0.0,14.4549112,18.86946508,18.83570897,14.68787943,0.0,15.40971603,12.88253777,13.26105995,17.89736295,17.82330301,0.0,14.07579639,14.84507146,0.0,16.54381056,14.45652703,0.0,14.94914334,14.57528484,0.0,0.0,15.08205035,13.96745656,24.05262298,11.72296962,14.22976411,0.0,0.0,13.80121008,12.43246136,
E14tg2a.0h.3D,0,E14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32057737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.41220636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.79612019,0.0,0.0,0.0,0.0,0.0,20.63990644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85456018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.42923278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26202461,
E14tg2a.0h.3E,0,E14,10.9757374,16.33073602,0.0,0.0,16.04801418,18.76834979,0.0,0.0,14.54408426,0.0,18.20992442,13.95503438,12.18936937,12.77689988,13.5056985,13.62257461,17.02195859,0.0,14.30070684,16.71363288,9.801131978,13.62665767,0.0,17.63397979,0.0,9.31941262,0.0,0.0,0.0,14.48892501,0.0,0.0,16.66807422,19.93367133,17.69733282,0.0,13.91098663,0.0,0.0,0.0,17.60089398,14.63684602,11.55293399,15.44070671,12.80838406,18.64747941,18.00499476,16.27286985,13.94202137,0.0,22.1971018,0.0,17.02055326,14.72583542,16.26121714,12.90159004,0.0,18.85807856,17.9963972,0.0,15.44956337,18.55000938,0.0,0.0,16.8449451,0.0,14.70713017,0.0,17.18229423,14.9716215,0.0,17.18611522,12.94929922,13.17646908,16.70656862,16.53788275,0.0,14.15867085,18.76073589,0.0,15.99049899,15.10638766,0.0,18.246109,13.8108608,18.02945964,0.0,13.6957829,12.78655729,18.97229396,12.0812134,13.76871202,0.0,0.0,13.78921329,10.51782123,
E14tg2a.0h.3F,0,E14,11.20916503,18.37327392,16.11994035,0.0,17.67094651,0.0,17.75967308,19.32310607,13.34094371,0.0,16.74702503,16.06271022,12.2295574,13.26238338,13.18438583,26.27913339,17.80814288,0.0,14.57429424,18.9974466,13.13024117,12.84510276,0.0,0.0,0.0,8.62347096,20.04349375,0.0,0.0,14.62581689,0.0,19.71767031,18.12019118,0.0,0.0,0.0,13.37478651,0.0,0.0,0.0,0.0,16.95123731,12.52951507,16.35057939,12.94822284,0.0,17.11405966,15.6668785,15.3031982,0.0,16.0723926,0.0,18.69482238,16.97218046,16.81510113,16.35055778,0.0,0.0,0.0,13.87271272,17.79072755,0.0,0.0,0.0,19.61248648,0.0,13.64112385,0.0,16.5180025,15.89953252,0.0,18.7493287,12.92661039,14.72032334,16.60429033,15.75614253,0.0,14.34594803,17.85048053,0.0,0.0,13.88014633,0.0,13.57904108,13.66508956,17.5857879,0.0,14.9028626,14.11557148,18.23194946,12.33345366,14.28354606,0.0,0.0,13.52639111,12.29224044,
E14tg2a.0h.3G,0,E14,16.59027466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.96203392,0.0,0.0,0.0,0.0,18.21619446,0.0,18.60168894,0.0,0.0,0.0,0.0,18.21790001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6659535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35272584,17.60614712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.45086019,
E14tg2a.0h.3H,0,E14,10.58626567,18.79596811,13.93237348,0.0,17.87986889,0.0,0.0,0.0,14.83434174,0.0,0.0,13.69846032,12.54504162,12.74800309,12.08262376,18.63227736,15.99652177,0.0,14.02256565,17.54542908,13.56979988,13.08574142,0.0,0.0,0.0,7.94893183,0.0,0.0,0.0,12.92730487,0.0,19.88468381,16.46635472,0.0,18.5211476,0.0,11.8287193,21.65497471,0.0,19.77882974,0.0,13.32205752,12.16493383,14.92686145,16.49908692,0.0,16.32821862,15.59862649,12.71200927,0.0,0.0,0.0,16.43302185,14.87669056,14.39230011,13.9033121,0.0,0.0,18.95967769,15.64111804,15.28308895,0.0,0.0,0.0,0.0,0.0,13.26928335,0.0,16.3474532,16.07771325,0.0,15.1250979,12.22021385,13.03550197,18.38006153,16.90381916,0.0,13.78047419,15.5966831,0.0,17.99146597,13.30721304,0.0,14.0081635,13.45480443,0.0,0.0,13.23228672,14.03442619,14.69259914,11.6230478,13.56303808,0.0,0.0,12.85210439,11.11639548,
E14tg2a.0h.4A,0,E14,10.54392353,18.26285818,15.1399064,0.0,16.6037938,0.0,0.0,19.38654882,13.82894701,0.0,18.18074404,13.44612527,12.06177187,12.20905469,11.42199247,0.0,17.26067935,18.95011412,15.9979339,17.33414968,13.52973037,14.42005766,0.0,0.0,0.0,7.742476909,20.05131003,0.0,0.0,12.67792395,0.0,24.6908942,17.33499567,0.0,17.53723532,0.0,12.09090127,0.0,0.0,0.0,0.0,13.44873071,12.38255991,16.40245025,14.04168002,0.0,16.16848341,15.36443424,14.36220253,0.0,0.0,0.0,16.98237991,12.73705486,15.49022942,14.27526885,0.0,20.48198829,19.5965545,15.87614137,22.64696885,0.0,0.0,0.0,17.03054696,0.0,15.65982167,0.0,15.77074488,16.31482776,18.14089566,14.92349902,12.14942281,12.41768051,16.12549553,16.60364335,0.0,13.34735915,15.81354095,0.0,19.267038,14.18479689,0.0,14.21044724,13.98729897,0.0,0.0,18.61106225,14.02874288,0.0,11.17938575,13.98956529,0.0,0.0,12.99423317,10.98448371,
